 ,Area,Mean,Min,Max,Slice
164,315,4686.187,3383,6207,1
165,370,5580.746,3397,8128,1
166,386,5279.070,3411,7286,1
167,390,5045.718,3430,6386,1
168,404,5412.500,3390,7447,1
169,331,4296.952,3393,5566,1
170,369,5813.203,3391,8704,1
171,271,4453.303,3393,5697,1
172,339,4606.457,3400,6521,1
173,249,4341.703,3402,5562,1
174,376,4448.261,3388,5772,1
175,368,4648.429,3389,6365,1
176,325,5373.714,3384,6679,1
177,259,4541.691,3418,5798,1
178,387,4878.429,3384,6861,1
179,213,3878.394,3399,4738,1
180,319,4470.715,3382,5696,1
181,371,5169.585,3386,7175,1
182,355,4563.986,3387,5913,1
183,409,4762.868,3402,6971,1
184,384,5339.622,3387,7235,1
185,381,4618.136,3422,5873,1
186,422,5015.886,3434,6961,1
187,484,5217.428,3383,7142,1
188,367,5348.591,3384,7984,1
189,356,4730.871,3397,6388,1
190,443,4329.230,3396,5657,1
191,226,4022.761,3386,4980,1
192,398,5594.872,3400,7214,1
193,375,5150.485,3401,7272,1
194,264,4214.197,3383,5311,1
195,307,6672.199,3463,9754,1
196,466,4536.509,3407,6110,1
197,419,5191.582,3409,7043,1
198,361,5161.620,3391,6916,1
199,361,5514.374,3388,7598,1
200,254,4174.744,3382,4996,1
201,288,5432.434,3390,7348,1
202,344,4275.983,3410,5473,1
203,234,9458.432,3412,16481,1
204,330,5487.297,3438,7275,1
205,346,4944.543,3386,6814,1
206,320,6202.566,3412,8818,1
207,485,5109.458,3390,6890,1
208,241,4503.913,3399,5329,1
209,383,5065.815,3391,6870,1
210,334,5809.581,3451,7368,1
211,446,5480.341,3401,7472,1
212,252,4310.810,3387,5471,1
213,375,4300.016,3397,5662,1
214,410,5118.837,3389,6896,1
215,349,9647.390,3426,15047,1
216,322,4881.901,3385,7174,1
217,395,5635.970,3385,7810,1
218,364,5077.236,3397,6703,1
219,295,4209.932,3384,5342,1
220,347,4716.291,3398,6384,1
221,241,3926.145,3382,4755,1
222,265,4424.385,3383,5685,1
223,296,4941.753,3394,6817,1
224,324,6130.015,3410,9213,1
225,437,4666.167,3410,6515,1
226,263,3886.669,3383,4538,1
227,253,4770.300,3418,5794,1
228,338,4596.426,3395,5851,1
229,242,4118.868,3382,5026,1
230,428,5179.119,3409,7014,1
231,240,3883.558,3382,4746,1
232,480,9086.115,3389,13735,1
233,418,4817.708,3392,6132,1
234,211,7288.194,3447,11348,1
235,279,4251.265,3390,5468,1
236,248,3945.972,3384,5036,1
237,287,5055.268,3487,6880,1
238,360,5402.794,3449,7121,1
239,345,4088.145,3393,5374,1
240,388,4283.247,3390,5735,1
241,343,4565.050,3383,6009,1
242,260,4476.396,3401,5611,1
243,272,4370.886,3397,5386,1
244,372,5691.460,3389,7474,1
245,369,5790.577,3418,7596,1
246,393,4225.478,3382,5401,1
247,283,4230.360,3395,5067,1
248,443,7318.591,3387,13212,1
249,242,3921.665,3388,4733,1
250,440,4705.023,3386,6084,1
251,234,9477.162,3399,17382,1
252,380,6207.418,3398,9933,1
253,332,4542.130,3389,6102,1
254,222,6851.324,3389,11086,1
255,441,5184.546,3433,6893,1
256,319,5662.743,3428,7506,1
257,354,4481.749,3384,5871,1
258,281,4298.125,3402,5150,1
259,219,9528.539,3470,16141,1
260,237,4045.962,3402,4958,1
261,245,4060.286,3384,4922,1
262,254,4094.591,3383,4911,1
263,257,4550.875,3382,5433,1
264,253,4498.881,3411,5996,1
265,385,4858.332,3408,6305,1
266,250,4942.516,3390,6456,1
267,269,4291.933,3413,5403,1
268,246,3808.146,3387,4613,1
269,387,10296.478,3417,22436,1
270,270,4392.070,3387,5419,1
